ORY 01/03/08 05:00 01/03/08 06:00 3 0
ORY 01/03/08 06:00 01/03/08 07:00 7 6
ORY 01/03/08 07:00 01/03/08 08:00 6 7
ORY 01/03/08 08:00 01/03/08 09:00 6 5
ORY 01/03/08 09:00 01/03/08 10:00 2 5
ORY 01/03/08 10:00 01/03/08 11:00 3 4
ORY 01/03/08 11:00 01/03/08 12:00 4 5
ORY 01/03/08 12:00 01/03/08 13:00 5 2
ORY 01/03/08 13:00 01/03/08 14:00 4 4
ORY 01/03/08 14:00 01/03/08 15:00 5 3
ORY 01/03/08 15:00 01/03/08 16:00 5 5
ORY 01/03/08 16:00 01/03/08 17:00 7 5
ORY 01/03/08 17:00 01/03/08 18:00 5 6
ORY 01/03/08 18:00 01/03/08 19:00 6 5
ORY 01/03/08 19:00 01/03/08 20:00 6 9
ORY 01/03/08 20:00 01/03/08 21:00 5 4
CDG 01/03/08 05:00 01/03/08 06:00 1 0
CDG 01/03/08 06:00 01/03/08 07:00 14 3
CDG 01/03/08 07:00 01/03/08 08:00 4 7
CDG 01/03/08 08:00 01/03/08 09:00 6 7
CDG 01/03/08 09:00 01/03/08 10:00 7 4
CDG 01/03/08 10:00 01/03/08 11:00 3 10
CDG 01/03/08 11:00 01/03/08 12:00 10 10
CDG 01/03/08 12:00 01/03/08 13:00 8 1
CDG 01/03/08 13:00 01/03/08 14:00 1 8
CDG 01/03/08 14:00 01/03/08 15:00 8 6
CDG 01/03/08 15:00 01/03/08 16:00 8 5
CDG 01/03/08 16:00 01/03/08 17:00 5 6
CDG 01/03/08 17:00 01/03/08 18:00 10 7
CDG 01/03/08 18:00 01/03/08 19:00 4 9
CDG 01/03/08 19:00 01/03/08 20:00 7 6
CDG 01/03/08 20:00 01/03/08 21:00 8 5
CDG 01/03/08 21:00 01/03/08 22:00 0 10
#
