A319#1 A319 AirbusSmall 0/0/142 510 1850.0 35 35 AJA ORY-01/03/08-22:00-02/03/08-05:00-585
BAE200#2 BAE200 BAE 0/0/94 150 1700.0 30 20 AJA LIL-03/03/08-22:00-04/03/08-03:00-1708
ERJ135#3 ERJ135 ERJ 0/0/37 240 1350.0 25 20 AJA NULL
A319#4 A319 AirbusSmall 0/12/124 510 1850.0 35 35 AMS NULL
A319#5 A319 AirbusSmall 0/12/124 510 1850.0 35 35 AMS CDG-01/03/08-22:00-02/03/08-05:00-730
B737800#6 B737800 BoeingSmall 0/57/114 420 2000.0 40 40 AMS NULL
A320#7 A320 AirbusSmall 0/10/150 420 2000.0 40 40 AOI NULL
F100#8 F100 Fokker 0/0/100 225 1600.0 30 20 AOI NULL
A340#9 A340 AirbusBig 10/36/240 1100 6000.0 60 90 ATL NULL
A340#10 A340 AirbusBig 10/36/240 1100 6000.0 60 90 ATL NULL
A340#11 A340 AirbusBig 10/36/240 1100 6000.0 60 90 ATL CDG-02/03/08-00:00-02/03/08-06:00-749
A340#12 A340 AirbusBig 10/36/240 1100 6000.0 60 90 ATL NULL
A340#13 A340 AirbusBig 10/36/240 1100 6000.0 60 90 ATL NULL
A340#14 A340 AirbusBig 10/36/240 1100 6000.0 60 90 ATL NULL
A340#15 A340 AirbusBig 10/36/240 1100 6000.0 60 90 ATL NULL
A340#16 A340 AirbusBig 10/36/240 1100 6000.0 60 90 ATL NULL
A340#17 A340 AirbusBig 10/36/240 1100 6000.0 60 90 ATL NULL
A340#18 A340 AirbusBig 10/36/240 1100 6000.0 60 90 ATL CDG-02/03/08-06:00-02/03/08-08:00-657
A340#19 A340 AirbusBig 10/36/240 1100 6000.0 60 90 ATL NULL
A340#20 A340 AirbusBig 10/36/240 1100 6000.0 60 90 ATL NULL
A340#21 A340 AirbusBig 10/36/240 1100 6000.0 60 90 ATL NULL
A340#22 A340 AirbusBig 10/36/240 1100 6000.0 60 90 ATL NULL
B747#23 B747 BoeingBig 13/58/324 1010 5800.0 60 90 ATL NULL
B747#24 B747 BoeingBig 13/58/324 1010 5800.0 60 90 ATL NULL
B747#25 B747 BoeingBig 0/40/393 1010 5800.0 60 90 ATL NULL
B747#26 B747 BoeingBig 0/40/393 1010 5800.0 60 90 ATL NULL
B747#27 B747 BoeingBig 0/40/393 1010 5800.0 60 90 ATL NULL
B747#28 B747 BoeingBig 0/40/393 1010 5800.0 60 90 ATL NULL
B747#29 B747 BoeingBig 0/40/393 1010 5800.0 60 90 ATL NULL
B747#30 B747 BoeingBig 0/40/393 1010 5800.0 60 90 ATL NULL
B747#31 B747 BoeingBig 0/40/393 1010 5800.0 60 90 ATL NULL
B747#32 B747 BoeingBig 0/40/393 1010 5800.0 60 90 ATL NULL
B747#33 B747 BoeingBig 0/40/393 1010 5800.0 60 90 ATL NULL
B747#34 B747 BoeingBig 0/40/393 1010 5800.0 60 90 ATL NULL
B747#35 B747 BoeingBig 0/40/393 1010 5800.0 60 90 ATL NULL
B747#36 B747 BoeingBig 0/40/393 1010 5800.0 60 90 ATL NULL
B747#37 B747 BoeingBig 0/40/393 1010 5800.0 60 90 ATL NULL
B747#38 B747 BoeingBig 0/40/393 1010 5800.0 60 90 ATL NULL
B747#39 B747 BoeingBig 0/40/393 1010 5800.0 60 90 ATL NULL
B747#40 B747 BoeingBig 0/40/393 1010 5800.0 60 90 ATL NULL
B747#41 B747 BoeingBig 0/40/393 1010 5800.0 60 90 ATL NULL
B747#42 B747 BoeingBig 0/40/393 1010 5800.0 60 90 ATL NULL
B747#43 B747 BoeingBig 0/40/393 1010 5800.0 60 90 ATL NULL
B747#44 B747 BoeingBig 0/40/393 1010 5800.0 60 90 ATL NULL
B747#45 B747 BoeingBig 0/40/393 1010 5800.0 60 90 ATL NULL
B747#46 B747 BoeingBig 0/40/393 1010 5800.0 60 90 ATL NULL
B747#47 B747 BoeingBig 0/40/393 1010 5800.0 60 90 ATL NULL
B747#48 B747 BoeingBig 0/40/393 1010 5800.0 60 90 ATL NULL
B747#49 B747 BoeingBig 0/40/393 1010 5800.0 60 90 ATL NULL
B747#50 B747 BoeingBig 0/40/393 1010 5800.0 60 90 ATL CDG-03/03/08-06:00-03/03/08-11:00-740
B777#51 B777 BoeingBig 0/14/442 1050 6000.0 60 90 ATL NULL
A330#52 A330 AirbusBig 0/40/179 1100 5800.0 60 90 AUS NULL
A340#53 A340 AirbusBig 10/36/240 1100 6000.0 60 90 AUS NULL
B747#54 B747 BoeingBig 13/58/324 1010 5800.0 60 90 AUS NULL
