A318#1 A318 Airbus 0/0/123 450 1800.0 30 30 CFE NULL 
A318#2 A318 Airbus 0/0/123 450 1800.0 30 30 ETZ NULL 
A318#3 A318 Airbus 0/0/123 450 1800.0 30 30 NTE NULL 
A318#4 A318 Airbus 0/0/123 450 1800.0 30 30 NCE NULL 
A318#5 A318 Airbus 0/0/123 450 1800.0 30 30 ORY NULL 
A318#6 A318 Airbus 0/0/123 450 1800.0 30 30 BOD NULL 
A318#7 A318 Airbus 0/0/123 450 1800.0 30 30 BIQ NULL 
A318#8 A318 Airbus 0/0/123 450 1800.0 30 30 ORY NULL 
A319#1 A319 Airbus 0/28/51 510 1800.0 35 35 BES NULL 
A319#2 A319 Airbus 0/0/142 510 1850.0 35 35 PUF NULL 
A319#3 A319 Airbus 0/0/142 510 1850.0 35 35 MPL NULL 
A319#4 A319 Airbus 0/0/138 510 1850.0 35 35 CDG NULL 
A319#5 A319 Airbus 0/0/142 510 1850.0 35 35 ORY NULL 
A319#6 A319 Airbus 0/0/142 510 1850.0 35 35 TLN NULL 
A319#7 A319 Airbus 0/0/142 510 1850.0 35 35 ORY NULL 
A319#8 A319 Airbus 0/0/142 510 1850.0 35 35 SXB NULL 
A319#9 A319 Airbus 0/0/138 510 1850.0 35 35 ORY NULL 
A319#10 A319 Airbus 0/0/138 510 1850.0 35 35 TLS NULL 
A319#11 A319 Airbus 0/0/142 510 1850.0 35 35 ORY NULL 
A319#12 A319 Airbus 0/0/142 510 1850.0 35 35 ORY NULL 
A319#13 A319 Airbus 0/28/51 510 1800.0 35 35 ORY NULL 
A319#14 A319 Airbus 0/0/142 510 1850.0 35 35 ORY NULL 
A319#15 A319 Airbus 0/0/138 510 1850.0 35 35 MPL NULL 
A319#16 A319 Airbus 0/28/51 510 1800.0 35 35 MRS NULL 
A319#17 A319 Airbus 0/0/138 510 1850.0 35 35 CDG NULL 
A319#18 A319 Airbus 0/28/51 510 1800.0 35 35 LYS NULL 
A320#1 A320 Airbus 0/0/172 420 2000.0 40 40 BES NULL 
A320#2 A320 Airbus 0/0/172 420 2000.0 40 40 AJA NULL 
A320#3 A320 Airbus 0/0/172 420 2000.0 40 40 BIA NULL 
A320#4 A320 Airbus 0/0/165 420 2000.0 40 40 MLH NULL 
A320#5 A320 Airbus 0/0/165 420 2000.0 40 40 MRS NULL 
A320#6 A320 Airbus 0/0/165 420 2000.0 40 40 NTE NULL 
A320#7 A320 Airbus 0/0/172 420 2000.0 40 40 TLS NULL 
A320#8 A320 Airbus 0/0/172 420 2000.0 40 40 ORY NULL 
A320#9 A320 Airbus 0/0/172 420 2000.0 40 40 ORY NULL 
A320#10 A320 Airbus 0/0/172 420 2000.0 40 40 TLS NULL 
A320#11 A320 Airbus 0/0/172 420 2000.0 40 40 TLS NULL 
A320#12 A320 Airbus 0/0/172 420 2000.0 40 40 BIQ NULL 
A320#13 A320 Airbus 0/0/172 420 2000.0 40 40 SXB NULL 
A320#14 A320 Airbus 0/0/172 420 2000.0 40 40 LIG NULL 
A320#15 A320 Airbus 0/0/172 420 2000.0 40 40 MLH NULL 
A320#16 A320 Airbus 0/0/165 420 2000.0 40 40 BOD NULL 
A320#17 A320 Airbus 0/0/172 420 2000.0 40 40 MRS NULL 
A320#18 A320 Airbus 0/0/165 420 2000.0 40 40 BOD NULL 
A320#19 A320 Airbus 0/0/172 420 2000.0 40 40 ORY NULL 
A320#20 A320 Airbus 0/0/165 420 2000.0 40 40 NTE NULL 
A320#21 A320 Airbus 0/0/165 420 2000.0 40 40 MRS NULL 
A320#22 A320 Airbus 0/0/165 420 2000.0 40 40 NCE NULL 
A320#23 A320 Airbus 0/0/172 420 2000.0 40 40 MRS NULL 
A320#24 A320 Airbus 0/0/165 420 2000.0 40 40 NCE NULL 
A321#1 A321 Airbus 0/0/206 420 2250.0 45 45 TLS NULL 
A321#2 A321 Airbus 0/0/206 420 2250.0 45 45 LYS NULL 
A321#3 A321 Airbus 0/0/206 420 2250.0 45 45 CDG NULL 
A321#4 A321 Airbus 0/0/206 420 2250.0 45 45 CDG NULL 
A321#5 A321 Airbus 0/0/206 420 2250.0 45 45 MPL NULL 
BAE200#1 BAE200 BAE 0/0/94 150 1700.0 30 20 RDZ NULL 
BAE200#2 BAE200 BAE 0/0/94 150 1700.0 30 20 RNS NULL 
BAE200#3 BAE200 BAE 0/0/94 150 1700.0 30 20 LRT NULL 
BAE300#1 BAE300 BAE 0/0/100 150 1700.0 30 20 LIG NULL 
BAE300#2 BAE300 BAE 0/0/100 150 1700.0 30 20 UIP NULL 
BAE300#3 BAE300 BAE 0/0/100 150 1700.0 30 20 SXB NULL 
CRJ100#1 CRJ100 CRJ 0/0/50 120 1500.0 25 20 TLS NULL 
CRJ100#2 CRJ100 CRJ 0/0/50 120 1500.0 25 20 LIL NULL 
CRJ100#3 CRJ100 CRJ 0/0/50 120 1500.0 25 20 RNS NULL 
CRJ100#4 CRJ100 CRJ 0/0/50 120 1500.0 25 20 BOD NULL 
CRJ700#1 CRJ700 CRJ 0/0/72 275 1580.0 30 20 TLS NULL 
CRJ700#2 CRJ700 CRJ 0/0/72 275 1580.0 30 20 RNS NULL 
CRJ700#3 CRJ700 CRJ 0/0/72 275 1580.0 30 20 NCE NULL 
ERJ135#1 ERJ135 ERJ 0/0/37 240 1450.0 25 20 FSC NULL 
ERJ135#2 ERJ135 ERJ 0/0/37 240 1450.0 25 20 LEH NULL 
ERJ145#1 ERJ145 ERJ 0/0/50 280 1350.0 25 20 AVN NULL 
ERJ145#2 ERJ145 ERJ 0/0/50 280 1350.0 25 20 LDE NULL 
ERJ145#3 ERJ145 ERJ 0/0/50 280 1350.0 25 20 CFE NULL 
ERJ145#4 ERJ145 ERJ 0/0/50 280 1350.0 25 20 CFR NULL 
ERJ145#5 ERJ145 ERJ 0/0/50 280 1350.0 25 20 NCE NULL 
F100#1 F100 Fokker 0/0/100 225 1600.0 30 20 BES NULL 
F100#2 F100 Fokker 0/0/100 225 1600.0 30 20 SXB NULL 
F100#3 F100 Fokker 0/0/100 225 1600.0 30 20 NTE NULL 
F100#4 F100 Fokker 0/0/100 225 1600.0 30 20 BES NULL 
F100#5 F100 Fokker 0/0/100 225 1600.0 30 20 PUF NULL 
F100#6 F100 Fokker 0/0/100 225 1600.0 30 20 RNS NULL 
TranspCom#1 TranspCom TranspCom -1/-1/-1 120 0.0 10 10 CDG NULL 
TranspCom#2 TranspCom TranspCom -1/-1/-1 120 0.0 10 10 CDG NULL 
TranspCom#3 TranspCom TranspCom -1/-1/-1 120 0.0 10 10 ORY NULL 
TranspCom#4 TranspCom TranspCom -1/-1/-1 120 0.0 10 10 ORY NULL 
#
