4081 01/03/08 A320#1 
4080 01/03/08 A320#1 
4085 01/03/08 A320#1 
5812 01/03/08 A320#1 
4297 01/03/08 BAE200#2 
5171 01/03/08 BAE200#2 
7429 01/03/08 BAE200#2 
5383 01/03/08 BAE200#2 
5384 01/03/08 BAE200#2 
5385 01/03/08 BAE200#2 
4281 01/03/08 BAE300#3 
4316 01/03/08 BAE300#3 
4331 01/03/08 BAE300#3 
7403 01/03/08 BAE300#3 
7422 01/03/08 BAE300#3 
7423 01/03/08 BAE300#3 
5377 01/03/08 BAE300#3 
7809 01/03/08 A319#4 
1302 01/03/08 A319#4 
1303 01/03/08 A319#4 
1786 01/03/08 A319#4 
1787 01/03/08 A319#4 
1928 01/03/08 A319#4 
7807 01/03/08 A319#5 
850 01/03/08 A319#5 
851 01/03/08 A319#5 
1498 01/03/08 A319#5 
1499 01/03/08 A319#5 
1720 01/03/08 A319#5 
1721 01/03/08 A319#5 
7827 01/03/08 A320#6 
7828 01/03/08 A320#6 
7833 01/03/08 A320#6 
7834 01/03/08 A320#6 
7839 01/03/08 A320#6 
1929 01/03/08 A320#7 
1018 01/03/08 A320#7 
1019 01/03/08 A320#7 
1902 01/03/08 A320#7 
5411 01/03/08 A320#7 
3010 01/03/08 A320#7 
5475 01/03/08 A320#8 
5456 01/03/08 A320#8 
887 01/03/08 A320#8 
1280 01/03/08 A320#8 
1281 01/03/08 A320#8 
1880 01/03/08 A320#8 
1729 01/03/08 A320#9 
2218 01/03/08 A320#9 
3013 01/03/08 A320#9 
2876 01/03/08 A320#9 
4529 01/03/08 F100#10 
4537 01/03/08 F100#10 
4487 01/03/08 F100#10 
1884 01/03/08 F100#10 
6941 01/03/08 A319#11 
5784 01/03/08 A319#11 
5789 01/03/08 A319#11 
6933 01/03/08 A319#11 
6936 01/03/08 A319#11 
5630 01/03/08 A319#11 
7317 01/03/08 A320#12 
7282 01/03/08 A320#12 
7283 01/03/08 A320#12 
7286 01/03/08 A320#12 
5813 01/03/08 A320#12 
5826 01/03/08 A320#12 
5251 01/03/08 BAE200#13 
5351 01/03/08 BAE200#13 
4936 01/03/08 BAE200#13 
4935 01/03/08 BAE200#13 
4938 01/03/08 BAE200#13 
4937 01/03/08 BAE200#13 
5386 01/03/08 F100#14 
7393 01/03/08 F100#14 
7508 01/03/08 F100#14 
7417 01/03/08 F100#14 
5373 01/03/08 F100#14 
5376 01/03/08 F100#14 
4986 01/03/08 F100#14 
149 01/03/08 A340#16 
2076 01/03/08 A340#16 
2077 01/03/08 A340#16 
1276 01/03/08 A340#16 
4091 01/03/08 A318#17 
5786 01/03/08 A318#17 
5791 01/03/08 A318#17 
5704 01/03/08 A318#17 
5711 01/03/08 A318#17 
5293 01/03/08 A318#17 
5294 01/03/08 A318#17 
5295 01/03/08 A318#17 
4315 01/03/08 ERJ135#18 
4280 01/03/08 ERJ135#18 
4351 01/03/08 ERJ135#18 
7430 01/03/08 ERJ135#18 
7431 01/03/08 ERJ135#18 
7451 01/03/08 ERJ135#18 
7446 01/03/08 ERJ135#18 
4329 01/03/08 F100#19 
2840 01/03/08 F100#19 
2742 01/03/08 F100#19 
2854 01/03/08 F100#19 
2855 01/03/08 F100#19 
2741 01/03/08 F100#19 
2696 01/03/08 F100#19 
5019 01/03/08 F100#19 
7061 01/03/08 A319#20 
5690 01/03/08 A319#20 
5701 01/03/08 A319#20 
5606 01/03/08 A319#20 
5619 01/03/08 A319#20 
6950 01/03/08 A319#20 
6953 01/03/08 A319#20 
7215 01/03/08 A320#21 
7244 01/03/08 A320#21 
7247 01/03/08 A320#21 
7248 01/03/08 A320#21 
7251 01/03/08 A320#21 
5011 01/03/08 CRJ700#22 
7382 01/03/08 CRJ700#22 
2699 01/03/08 CRJ700#22 
2690 01/03/08 CRJ700#22 
5057 01/03/08 CRJ700#22 
5058 01/03/08 CRJ700#22 
2716 01/03/08 CRJ700#22 
5831 01/03/08 A318#23 
5686 01/03/08 A318#23 
5693 01/03/08 A318#23 
5808 01/03/08 A318#23 
5801 01/03/08 A318#23 
5620 01/03/08 A318#23 
5835 01/03/08 A318#24 
5596 01/03/08 A318#24 
5609 01/03/08 A318#24 
7068 01/03/08 A318#24 
7071 01/03/08 A318#24 
5854 01/03/08 A318#24 
5833 01/03/08 A321#25 
7060 01/03/08 A321#25 
7069 01/03/08 A321#25 
6892 01/03/08 A321#25 
6905 01/03/08 A321#25 
7201 01/03/08 A321#26 
7232 01/03/08 A321#26 
7223 01/03/08 A321#26 
7346 01/03/08 A321#26 
7347 01/03/08 A321#26 
7230 01/03/08 A321#26 
5030 01/03/08 CRJ100#27 
4298 01/03/08 CRJ100#27 
4299 01/03/08 CRJ100#27 
5033 01/03/08 CRJ100#27 
5034 01/03/08 CRJ100#27 
5047 01/03/08 CRJ100#27 
5048 01/03/08 CRJ100#27 
2810 01/03/08 CRJ700#28 
2811 01/03/08 CRJ700#28 
7882 01/03/08 CRJ700#28 
2843 01/03/08 CRJ700#28 
7381 01/03/08 ERJ135#29 
5364 01/03/08 ERJ135#29 
5056 01/03/08 ERJ135#29 
7385 01/03/08 ERJ135#29 
7386 01/03/08 ERJ135#29 
7387 01/03/08 ERJ135#29 
5362 01/03/08 ERJ135#29 
7880 01/03/08 ERJ145#30 
7863 01/03/08 ERJ145#30 
2910 01/03/08 ERJ145#30 
