AJA 07/01/06 00:00 07/01/06 05:00 0 0
AJA 07/01/06 05:00 07/01/06 06:00 1 0
AJA 07/01/06 06:00 07/01/06 10:00 0 0
AJA 07/01/06 10:00 07/01/06 11:00 0 1
AJA 07/01/06 11:00 07/01/06 13:00 0 0
AJA 07/01/06 13:00 07/01/06 14:00 0 1
AJA 07/01/06 14:00 07/01/06 15:00 1 0
AJA 07/01/06 15:00 07/01/06 18:00 0 0
AJA 07/01/06 18:00 07/01/06 19:00 0 1
AJA 07/01/06 19:00 07/01/06 20:00 1 0
AJA 07/01/06 20:00 07/01/06 23:00 0 0
AMS 07/01/06 00:00 07/01/06 07:00 0 0
AMS 07/01/06 07:00 07/01/06 08:00 0 1
AMS 07/01/06 08:00 07/01/06 09:00 1 0
AMS 07/01/06 09:00 07/01/06 13:00 0 0
AMS 07/01/06 13:00 07/01/06 14:00 0 1
AMS 07/01/06 14:00 07/01/06 15:00 2 0
AMS 07/01/06 15:00 07/01/06 18:00 0 0
AMS 07/01/06 18:00 07/01/06 19:00 0 1
AMS 07/01/06 19:00 07/01/06 20:00 1 1
AMS 07/01/06 20:00 07/01/06 21:00 1 0
AMS 07/01/06 21:00 07/01/06 23:00 0 0
AVN 07/01/06 00:00 07/01/06 05:00 0 0
AVN 07/01/06 05:00 07/01/06 06:00 1 0
AVN 07/01/06 06:00 07/01/06 09:00 0 0
AVN 07/01/06 09:00 07/01/06 10:00 0 1
AVN 07/01/06 10:00 07/01/06 11:00 1 0
AVN 07/01/06 11:00 07/01/06 13:00 0 0
AVN 07/01/06 13:00 07/01/06 14:00 0 1
AVN 07/01/06 14:00 07/01/06 23:00 0 0
BES 07/01/06 00:00 07/01/06 05:00 0 0
BES 07/01/06 05:00 07/01/06 06:00 2 0
BES 07/01/06 06:00 07/01/06 07:00 1 0
BES 07/01/06 07:00 07/01/06 09:00 0 0
BES 07/01/06 09:00 07/01/06 10:00 0 1
BES 07/01/06 10:00 07/01/06 13:00 1 1
BES 07/01/06 13:00 07/01/06 14:00 1 0
BES 07/01/06 14:00 07/01/06 16:00 0 1
BES 07/01/06 16:00 07/01/06 17:00 1 1
BES 07/01/06 17:00 07/01/06 18:00 1 0
BES 07/01/06 18:00 07/01/06 21:00 0 0
BES 07/01/06 21:00 07/01/06 22:00 0 1
BES 07/01/06 22:00 07/01/06 23:00 0 0
BIA 07/01/06 00:00 07/01/06 05:00 0 0
BIA 07/01/06 05:00 07/01/06 06:00 1 0
BIA 07/01/06 06:00 07/01/06 10:00 0 0
BIA 07/01/06 10:00 07/01/06 11:00 0 1
BIA 07/01/06 11:00 07/01/06 12:00 1 0
BIA 07/01/06 12:00 07/01/06 15:00 0 0
BIA 07/01/06 15:00 07/01/06 16:00 1 1
BIA 07/01/06 16:00 07/01/06 18:00 0 0
BIA 07/01/06 18:00 07/01/06 19:00 0 1
BIA 07/01/06 19:00 07/01/06 20:00 1 0
BIA 07/01/06 20:00 07/01/06 21:00 0 1
BIA 07/01/06 21:00 07/01/06 23:00 0 0
BIQ 07/01/06 00:00 07/01/06 05:00 0 0
BIQ 07/01/06 05:00 07/01/06 06:00 1 0
BIQ 07/01/06 06:00 07/01/06 07:00 1 0
BIQ 07/01/06 07:00 07/01/06 09:00 0 0
BIQ 07/01/06 09:00 07/01/06 10:00 1 1
BIQ 07/01/06 10:00 07/01/06 12:00 0 0
BIQ 07/01/06 12:00 07/01/06 13:00 1 1
BIQ 07/01/06 13:00 07/01/06 14:00 0 0
BIQ 07/01/06 14:00 07/01/06 15:00 0 1
BIQ 07/01/06 15:00 07/01/06 16:00 0 0
BIQ 07/01/06 16:00 07/01/06 17:00 1 0
BIQ 07/01/06 17:00 07/01/06 18:00 0 1
BIQ 07/01/06 18:00 07/01/06 19:00 1 0
