A320#1 A320 AirbusSmall 0/0/165 420 2000.0 40 40 AJA NULL
BAE200#2 BAE200 BAE 0/0/94 150 1700.0 30 20 AJA NULL
BAE300#3 BAE300 BAE 0/0/100 150 1700.0 30 20 AJA LIL-03/03/08-00:00-03/03/08-05:00-1038
A319#4 A319 AirbusSmall 0/28/51 510 1850.0 35 35 AMS NULL
A319#5 A319 AirbusSmall 0/12/124 510 1850.0 35 35 AMS NULL
A320#6 A320 AirbusSmall 0/10/150 420 2000.0 40 40 AMS NULL
A320#7 A320 AirbusSmall 0/0/172 420 2000.0 40 40 BCN NULL
A320#8 A320 AirbusSmall 0/10/150 420 2000.0 40 40 BCN NULL
A320#9 A320 AirbusSmall 0/10/150 420 2000.0 40 40 BCN NULL
F100#10 F100 Fokker 0/0/100 225 1600.0 30 20 BCN NULL
A319#11 A319 AirbusSmall 0/0/142 510 1850.0 35 35 BES NULL
A320#12 A320 AirbusSmall 0/0/165 420 2000.0 40 40 BES NULL
BAE200#13 BAE200 BAE 0/0/94 150 1700.0 30 20 BES NULL
F100#14 F100 Fokker 0/0/100 225 1600.0 30 20 BES NULL
A330#15 A330 AirbusBig 0/40/179 1100 5800.0 60 90 BEY NULL
A340#16 A340 AirbusBig 10/36/240 1100 6000.0 60 90 BEY NULL
A318#17 A318 AirbusSmall 0/10/108 450 1800.0 30 30 BIA NULL
ERJ135#18 ERJ135 ERJ 0/0/37 240 1350.0 25 20 BIA NULL
F100#19 F100 Fokker 0/0/100 225 1600.0 30 20 BIA NULL
A319#20 A319 AirbusSmall 0/28/51 510 1850.0 35 35 BIQ ORY-01/03/08-22:00-02/03/08-05:00-936
A320#21 A320 AirbusSmall 0/0/165 420 2000.0 40 40 BIQ NULL
CRJ700#22 CRJ700 CRJ 0/0/72 275 1500.0 30 20 BIQ NULL
A318#23 A318 AirbusSmall 0/0/123 450 1800.0 30 30 BOD NULL
A318#24 A318 AirbusSmall 0/0/123 450 1800.0 30 30 BOD NULL
A321#25 A321 AirbusSmall 0/0/206 420 2250.0 45 45 BOD NULL
